센터ID,name,유형,시도,시군구,주소,우편번호,위도,경도,전화번호,팩스번호,홈페이지,설립일,의사인원수,간호사인원수,사회복지사인원수,인원_작업치료사,인원_행정인력,인원_운동치료사,인원_임상심리사,인원_음악치료사,인원_송영인력,인원_기타,인원_임상병리사,인원_치위생사,인원_물리치료사,인원_의무기록사,인원_시설관리,인원_방사선사,인원_영양사,인원_응급구조사
C0092,경기도성남시수정구치매안심센터,치매안심센터,경기도,성남시 수정구,"경기 성남시 수정구 수정로 218 (신흥동, 수정구보건소) 3층 수정구치매안심센터",13346,37.44432902,127.1440618,031-729-3879,031-729-8676,https://shseongnam.nid.or.kr,2018-07-02,,,,,,,,,,,,,,,,,,
C0093,경기도성남시중원구치매안심센터,치매안심센터,경기도,성남시 중원구,"경기 성남시 중원구 금상로 137 (상대원동, 노인보건센터, 중원구보건소) 노인보건센터 4층 치매안심센터",13200,37.44215625,127.1705808,031-739-3030,031-739-3904,https://jhseongnam.nid.or.kr,2017-12-26,,,,,,,,,,,,,,,,,,
C0094,경기도수원시권선구치매안심센터,치매안심센터,경기도,수원시 권선구,"경기 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소) 권선구보건소 1층",16626,37.2587428,126.9711297,031-5191-0425,031-369-2124,https://gwonseon.nid.or.kr,2019-07-16,,,,,,,,,,,,,,,,,,
C0095,경기도수원시영통구치매안심센터,치매안심센터,경기도,수원시 영통구,"경기 수원시 영통구 영통로 396 (영통동, 영통구보건소) 영통구치매안심센터 3층, 5층",16703,37.2568828,127.0697108,031-5191-0824,031-5191-8818,https://yeongtong.nid.or.kr,2018-01-01,,,,,,,,,,,,,,,,,,
C0096,경기도수원시장안구치매안심센터,치매안심센터,경기도,수원시 장안구,"경기 수원시 장안구 송원로 101 (조원동, 장안보건소) 1층 치매안심센터,2층치매안심센터",16295,37.30409473,127.0104007,031-5191-0230,031-369-2502,https://jangan.nid.or.kr,2018-10-12,,,,,,,,,,,,,,,,,,
C0097,경기도수원시팔달구치매안심센터,치매안심센터,경기도,수원시 팔달구,"경기 수원시 팔달구 팔달산로 6 (교동, 팔달구 보건소) 2층 치매안심센터",16463,37.27149964,127.0125182,031-5191-0630,031-369-4542,https://paldal.nid.or.kr,2019-06-26,,,,,,,,,,,,,,,,,,
C0098,경기도시흥시치매안심센터,치매안심센터,경기도,시흥시,경기도 시흥시 호현로 55 (대야동) 시흥보건소 5층 시흥시치매안심센터,14978,37.44553633,126.7853141,031-310-6065,031-380-5364,https://sh.nid.or.kr,2017-09-28,0,8,1,2,,,,,1,,,,,,,,,
C0099,경기도안산시단원구치매안심센터,치매안심센터,경기도,안산시 단원구,"경기도 안산시 단원구 화랑로 250, 단원보건소 3층 (초지동)",15396,37.32106776,126.8152629,031-481-6541,031-481-2565,https://danwon.nid.or.kr,2018-03-28,,,,,,,,,,,,,,,,,,
C0100,경기도안산시상록구치매안심센터,치매안심센터,경기도,안산시 상록구,"경기 안산시 상록구 차돌배기로1길 5 (사동, 상록수보건소) 상록수보건소 3층",15585,37.30026456,126.8450634,031-481-5848,031-481-3783,https://sangroksoo.nid.or.kr,2018-05-15,,,,,,,,,,,,,,,,,,
C0101,경기도안성시치매안심센터,치매안심센터,경기도,안성시,"경기 안성시 강변로74번길 18 (도기동, 안성시보건소) 1층 치매안심센터",17596,37.00016961,127.2698131,031-678-3002,031-678-5919,https://anseong.nid.or.kr,2018-12-21,0,8,5,4,2,,1,,,,,,,,,,,
C0102,경기도안양시동안구치매안심센터,치매안심센터,경기도,안양시 동안구,경기 안양시 동안구 관악대로 375 (관양동) 동안치매안심센터,13939,37.40479042,126.9645299,031-8045-6801,031-8045-6577,https://dongan.nid.or.kr,2018-01-01,,,,,,,,,,,,,,,,,,
C0103,경기도안양시만안구치매안심센터,치매안심센터,경기도,안양시 만안구,"경기 안양시 만안구 문예로 48 (안양동, 만안구보건소) 6층 치매안심센터",14035,37.38584733,126.9329445,031-8045-3150,031-8045-6575,https://manan.nid.or.kr,2019-04-08,,,,,,,,,,,,,,,,,,
C0104,경기도양주시치매안심센터,치매안심센터,경기도,양주시,경기 양주시 화합로1426번길 90 (덕정동) 양주체육복지센터 5층,11451,37.83814181,127.068036,031-8082-7147,0505-041-1961,https://yangju.nid.or.kr,2019-05-15,1,9,1,1,1,,,,,,,,,,,,,
C0105,경기도양평군치매안심센터,치매안심센터,경기도,양평군,"경기 양평군 양평읍 중앙로111번길 34-21 (공흥리, 양평군 치매안심센터 및 정신건강복지센터) 1층 양평군치매안심센터",12550,37.49662351,127.5051583,031-771-5773,031-770-2848,https://yangpyeong.nid.or.kr,2018-12-01,0,6,6,5,3,,,,,,,,,,,,,
C0106,경기도여주시치매안심센터,치매안심센터,경기도,여주시,경기 여주시 여흥로160번길 12 (상동) 치매안심센터(1층),12628,37.29477832,127.6399084,031-887-3685,031-887-3610,https://yeoju.nid.or.kr,2018-01-02,1,6,1,1,,,,,,,,,,,,,,
C0107,경기도연천군치매안심센터,치매안심센터,경기도,연천군,"경기 연천군 전곡읍 은대성로 95 (은대리, 연천군보건의료원) 4층 치매안심센터",11027,38.02353355,127.0609624,031-839-4083,031-839-4169,https://yeoncheon.nid.or.kr,2018-07-27,0,3,3,1,2,,,,,,,,,,,,,
C0108,경기도오산시치매안심센터,치매안심센터,경기도,오산시,"경기 오산시 경기대로 307 (오산동, 중앙동행정복지센터) 3층 치매안심센터",18135,37.15235202,127.0732064,031-8036-6611,031-8036-8924,https://osan.nid.or.kr,2018-07-02,1,8,2,3,3,,,,,,,,,,,,,
C0109,경기도용인시기흥구치매안심센터,치매안심센터,경기도,용인시 기흥구,"경기 용인시 기흥구 신갈로58번길 11 (신갈동, 신갈동주민센터및기흥구보건소) 2층,4층",16969,37.27257613,127.1064466,031-6193-0410,031-6193-0369,https://giheung.nid.or.kr,2018-09-20,,,,,,,,,,,,,,,,,,
C0110,경기도용인시수지구치매안심센터,치매안심센터,경기도,용인시 수지구,"경기 용인시 수지구 포은대로 435 (풍덕천동, 수지구청, 보건소) 수지구보건소 5층",16835,37.32217005,127.0968356,031-6193-0881,031-6193-0869,https://suji.nid.or.kr,2018-11-02,,,,,,,,,,,,,,,,,,
C0111,경기도용인시처인구치매안심센터,치매안심센터,경기도,용인시 처인구,"경기 용인시 처인구 중부대로 1199 (삼가동, 용인시청) 처인구보건소 지하1층",17019,37.24101936,127.1778963,031-6193-0199,031-6193-0169,https://cheoingu.nid.or.kr,2018-09-17,,,,,,,,,,,,,,,,,,
C0112,경기도의왕시치매안심센터,치매안심센터,경기도,의왕시,"경기 의왕시 오봉로 34 (고천동, 의왕시보건소) 3층 치매안심센터",16076,37.34378769,126.9719938,031-345-3853,031-345-2989,https://uiwang.nid.or.kr,2019-03-05,1,6,1,4,,,,,,,,,,,,,,
C0113,경기도의정부시치매안심센터,치매안심센터,경기도,의정부시,"경기 의정부시 민락로 360 (낙양동, 송산3동 공공복합청사) 5층",11812,37.75318982,127.1137733,031-870-6158,,https://ujb.nid.or.kr,2018-11-22,0,5,0,1,,,,,,,,,,,1,,,
C0114,경기도이천시치매안심센터,치매안심센터,경기도,이천시,경기 이천시 부악로 36 (중리동) 1층,17379,37.27310982,127.4333117,031-6190-7211,031-634-2745,https://icheon.nid.or.kr,2018-11-13,8,2,3,2,,,,,,,,1,,,,,,
C0115,경기도파주시치매안심센터,치매안심센터,경기도,파주시,"경기 파주시 조리읍 봉천로 68 (봉일천리, 파주시건강증진센터) 3층 치매안심센터",10937,37.74507907,126.8050112,031-940-3740,031-940-5139,https://paju.nid.or.kr,2018-07-11,1,15,2,1,3,,,,,3,,,,,,,,
C0116,경기도평택시송탄치매안심센터,치매안심센터,경기도,평택시 송탄,"경기 평택시 서정로 295 (서정동, 송탄보건소) 송탄치매안심센터",17730,37.0657141,127.0664973,031-8024-7257,031-8024-7309,https://songtan.nid.or.kr,2019-11-20,,,,,,,,,,,,,,,,,,
C0117,경기도평택시치매안심센터,치매안심센터,경기도,평택시,경기도 평택시 중앙1로56번길 25(비전동) 2층 치매안심센터,17901,36.9962511,127.0891907,031-8024-4399,031-8024-4439,https://pyeongtaek.nid.or.kr,2019-03-25,3,5,1,2,2,,1,,,,,,,,,,,
C0118,경기도포천시치매안심센터,치매안심센터,경기도,포천시,경기 포천시 삼육사로2186번길 11-15 (선단동) 2층 치매안심센터(선단보건지소 2층),11161,37.8534727,127.1593106,031-538-4831,031-538-4830,https://pocheon.nid.or.kr,2018-09-28,0,6,1,3,2,,,,,,,,,,,,,
C0119,경기도하남시치매안심센터,치매안심센터,경기도,하남시,경기 하남시 미사강변대로 200 (망월동) 4층,12909,37.56763908,127.185541,031-790-6254,031-790-6439,https://hanam.nid.or.kr,2018-07-27,1,5,1,2,,,,,,,1,1,,,,,,
C0120,경기도화성시치매안심센터,치매안심센터,경기도,화성시,"경기 화성시 향남읍 3.1만세로 1055 (발안리, 화성시보건소) 1층 치매안심센터(치매관리실)",18596,37.12928157,126.9045557,031-5189-1080,031-5189-1403,https://hscity.nid.or.kr,2018-06-14,0,6,2,,,,,,1,,,,,,,,,
C0121,경기도부천시오정치매안심센터,치매안심센터,경기도,부천시 오정구,"경기 부천시 오정구 성오로 172 (오정동, 오정구청) 오정보건소 내(오정치매안심센터) 2층",14434,37.52834682,126.7960266,032-625-9881,032-625-9839,https://ojeong.nid.or.kr,2018-12-27,,,,,,,,,,,,,,,,,,
C0122,경기도부천시소사치매안심센터,치매안심센터,경기도,부천시 소사,경기 부천시 소사구 소사본동 148-30 소사본동행정복지센터 2층,14757,37.47632789,126.7921576,032-625-9871,032-625-9879,https://sosa.nid.or.kr,2018-08-28,,,,,,,,,,,,,,,,,,
C0123,강원특별자치도강릉시치매안심센터,치매안심센터,강원특별자치도,강릉시,"강원특별자치도 강릉시 남부로17번길 38 (내곡동, 강릉시보건소) 강릉시치매안심센터",25604,37.74284431,128.8827693,033-660-3048,033-640-4764,https://gn.nid.or.kr,2019-11-22,0,20,3,,1,,,,,1,,,,,,,,
C0124,강원특별자치도고성군치매안심센터,치매안심센터,강원특별자치도,고성군,"강원특별자치도 고성군 간성읍 수성로 30 (신안리, 보건소) 고성군치매안심센터",24736,38.37767486,128.4720941,033-680-3798,033-680-3605,https://gwgs.nid.or.kr,2018-12-26,0,6,0,4,,,,,,,,,,,,,,
C0125,강원특별자치도동해시치매안심센터,치매안심센터,강원특별자치도,동해시,"강원특별자치도 동해시 발한로 227 (발한동, 묵호건강증진센터) 1층",25720,37.54951394,129.1081436,033-530-2426,033-530-2742,https://dh.nid.or.kr,2018-09-07,0,8,2,1,1,,,,,,,,1,,1,,,
C0126,강원특별자치도삼척시치매안심센터,치매안심센터,강원특별자치도,삼척시,"강원특별자치도 삼척시 척주로 76 (남양동, 삼척시보건소) 삼척시보건소 치매안심센터",25929,37.44393348,129.1720893,033-570-4327,033-570-4167,https://samcheok.nid.or.kr,2018-12-31,1,8,0,,,,,,,,,,1,,,,,
C0127,강원특별자치도속초시치매안심센터,치매안심센터,강원특별자치도,속초시,"강원특별자치도 속초시 수복로 36 (교동, 속초시보건소) 속초시치매안심센터",24855,38.19613278,128.5758059,033-639-3751,033-637-4007,https://sokcho.nid.or.kr,2018-12-27,1,6,1,,2,,,,,,,,,,,,,
C0128,강원특별자치도양구군치매안심센터,치매안심센터,강원특별자치도,양구군,"강원특별자치도 양구군 양구읍 관공서로 42 (하리, 양구군보건소) 치매안심센터 1층",24522,38.10997712,127.9892042,033-480-2820,033-482-9115,https://yanggu.nid.or.kr,2019-11-22,0,7,1,1,2,,,,,1,,,,,,,,
C0129,강원특별자치도양양군치매안심센터,치매안심센터,강원특별자치도,양양군,"강원특별자치도 양양군 양양읍 양양로 9-5 (연창리, 양양군보건소) 장애인회관및치매안심센터2층",25031,38.0778608,128.6274793,033-670-2496,033-670-2830,https://yangyang.nid.or.kr,2019-06-29,0,5,1,2,1,,,,,,,,,,,,,
C0130,강원특별자치도영월군치매안심센터,치매안심센터,강원특별자치도,영월군,강원특별자치도 영월군 영월읍 하송로 46-43 (하송리) 영월군 치매안심센터,26234,37.18530428,128.4615282,033-370-5441,033-375-1700,https://ywbogun.nid.or.kr,2018-09-12,0,5,1,2,1,,,,,,,,,,,,,
C0131,강원특별자치도원주시치매안심센터,치매안심센터,강원특별자치도,원주시,"강원특별자치도 원주시 지니기길 11-20 (무실동, 치매안심센터) 1층",26395,37.32470166,127.9248416,033-737-4542,033-737-3855,https://wonju.nid.or.kr,2019-12-20,0,14,1,2,3,,1,,,,,1,,1,,1,,
C0132,강원특별자치도인제군치매안심센터,치매안심센터,강원특별자치도,인제군,"강원특별자치도 인제군 인제읍 인제로140번길 34 (남북리, 인제보건소) 2층 치매안심센터",24633,38.06325619,128.1685465,033-460-2523,033-460-2519,https://inje.nid.or.kr,2019-12-05,2,4,1,2,2,,,,,,,,,,,,,
C0133,강원특별자치도정선군치매안심센터,치매안심센터,강원특별자치도,정선군,"강원특별자치도 정선군 정선읍 녹송로 33 (봉양리, 정선군보건소) 지하1층 치매안심센터",26127,37.38009274,128.6714859,033-560-2914,,https://jeongseon.nid.or.kr,2019-11-30,0,6,1,2,,,,,,,,,,,,,,
C0134,강원특별자치도철원군치매안심센터,치매안심센터,강원특별자치도,철원군,"강원특별자치도 철원군 갈말읍 군탄로 16 (군탄리, 철원군보건소) 철원군보건소 2층 치매안심센터",24037,38.1481382,127.3025602,033-450-5105,033-450-5194,https://cwg.nid.or.kr,2018-12-12,0,3,3,1,2,,,,,,,,,,,,,
C0135,강원특별자치도춘천시치매안심센터,치매안심센터,강원특별자치도,춘천시,"강원특별자치도 춘천시 스무숲길 4-46 치매안심센터 3,4층",24264,37.84600255,127.7469974,033-250-4004,033-250-4035,https://chuncheon.nid.or.kr,2019-06-28,0,12,3,1,6,,,,,3,,,,,1,,,
C0136,강원특별자치도태백시치매안심센터,치매안심센터,강원특별자치도,태백시,"강원특별자치도 태백시 태백로 905 (황지동, 보건소) 태백시 보건소 내 치매안심센터 1층",26027,37.17660158,128.992496,033-550-3042,033-550-2941,https://taebaek.nid.or.kr,2018-11-14,0,5,3,,5,,,,,,,,,,,,,
C0137,강원특별자치도평창군치매안심센터,치매안심센터,강원특별자치도,평창군,강원특별자치도 평창군 평창읍 종부로 61 (종부리) 평창군치매안심센터,25377,37.36049167,128.3888512,033-330-4900,033-330-4809,https://pyeongchang.nid.or.kr,2019-06-21,0,4,3,,,,,,,,,,,,,,,
C0138,강원특별자치도홍천군치매안심센터,치매안심센터,강원특별자치도,홍천군,강원특별자치도 홍천군 홍천읍 홍천로1길 9 (희망리) 홍천군치매안심센터,25135,37.68991786,127.87554,033-430-4055,033-430-4019,https://hongcheon.nid.or.kr,2019-11-07,0,7,4,2,10,,,,,,,1,,,,,,
C0139,강원특별자치도화천군치매안심센터,치매안심센터,강원특별자치도,화천군,"강원특별자치도 화천군 화천읍 강변로 111 (중리, 화천군보건의료원) 화천군치매안심센터",24119,38.10738275,127.709078,033-440-2809,033-440-4841,https://ihc.nid.or.kr,2018-12-18,0,13,0,1,,,,,,,,,,,,,,
C0140,강원특별자치도횡성군치매안심센터,치매안심센터,강원특별자치도,횡성군,"강원특별자치도 횡성군 횡성읍 횡성로 379 (읍하리, 횡성보건소) 횡성군치매안심센터",25234,37.48709552,127.9844168,033-340-5653,033-340-5608,https://hsg.nid.or.kr,2019-11-08,1,7,1,2,3,,,,,,,,,,,,,
C0141,충청북도괴산군치매안심센터,치매안심센터,충청북도,괴산군,"충북 괴산군 괴산읍 동진천길 43 (동부리, 괴산군보건소) 괴산군치매안심센터",28033,36.80799723,127.7966873,043-830-2392,043-830-2939,https://goesan.nid.or.kr,2019-10-10,0,6,1,,,,,,,,,,,,,,,
C0142,충청북도단양군치매안심센터,치매안심센터,충청북도,단양군,"충북 단양군 단양읍 삼봉로 53 (상진리, 단양군 보건소) 1층",27013,36.98163017,128.3502974,043-420-3312,043-421-3397,https://danyang.nid.or.kr,2018-11-12,0,2,2,,,,,,,6,,,,,,,,
C0143,충청북도보은군치매안심센터,치매안심센터,충청북도,보은군,"충북 보은군 보은읍 임업길 22 (삼산리, 치매안심센터) 보은군치매안심센터",28943,36.48704913,127.7155559,043-540-5642,043-544-2573,https://boeun.nid.or.kr,2019-06-24,0,8,4,,,,1,,,,,1,1,,,,1,
C0144,충청북도영동군치매안심센터,치매안심센터,충청북도,영동군,"충북 영동군 영동읍 반곡동길 7 (매천리, 영동군보건소)",29150,36.16849628,127.7759673,043-740-5946,043-743-4000,https://yd21.nid.or.kr,2018-12-28,1,4,1,2,3,,1,,,,,,,,,,,
C0145,충청북도옥천군치매안심센터,치매안심센터,충청북도,옥천군,"충북 옥천군 옥천읍 가화4길 18 (금구리, 옥천군 치매안심센터) 옥천군치매안심센터",29034,36.30508449,127.5612309,043-730-2158,043-733-7161,https://oc.nid.or.kr,2019-06-07,0,5,0,,,,,,,5,,,,,,,,
C0146,충청북도음성군치매안심센터,치매안심센터,충청북도,음성군,"충북 음성군 음성읍 중앙로 49 (읍내리, 음성보건소) 음성군 치매안심센터",27705,36.92883979,127.6888781,043-871-2971,043-871-1950,https://eumseong.nid.or.kr,2019-08-30,1,3,2,1,,,1,,,1,,,,,,,,
C0147,충청북도제천시치매안심센터,치매안심센터,충청북도,제천시,충북 제천시 의림대로 242 (청전동) 4층,27152,37.1493417,128.2160865,043-641-3058,043-641-3039,https://jecheon.nid.or.kr,2018-12-19,0,9,1,1,,,1,,,,,,,1,,,,
C0148,충청북도증평군치매안심센터,치매안심센터,충청북도,증평군,"충북 증평군 증평읍 보건복지로 64-1 (내성리, 증평군보건소) 2층 치매안심센터",27948,36.77424621,127.586726,043-835-4782,,https://jp.nid.or.kr,2018-08-09,0,3,1,1,,,1,,,4,,,,,,,,
C0149,충청북도진천군치매안심센터,치매안심센터,충청북도,진천군,충북 진천군 덕산읍 연미로 29 (두촌리) 진천군치매안심센터,27876,36.89921785,127.5288313,043-539-7782,,https://jincheon.nid.or.kr,2018-11-22,0,5,2,,,,1,,,,1,1,,,,,1,
C0150,충청북도청주시상당구치매안심센터,치매안심센터,충청북도,청주시 상당구,충북 청주시 상당구 남일면 단재로 480 (효촌리) 상당보건소 치매안심센터,28806,36.58826888,127.5059436,043-201-4300,043-201-4319,https://sangdang.nid.or.kr,2018-12-31,,,,,,,,,,,,,,,,,,
C0151,충청북도청주시서원구치매안심센터,치매안심센터,충청북도,청주시 서원구,"충북 청주시 서원구 구룡산로 235 (수곡동, 위너스빌딩) 3층 치매안심센터",28688,36.6160235,127.4713305,043-201-3720,,https://seowon.nid.or.kr,2018-10-10,,,,,,,,,,,,,,,,,,
C0152,충청북도청주시청원구치매안심센터,치매안심센터,충청북도,청주시 청원구,"충북 청주시 청원구 오창읍 과학산업3로 238 (각리, 청원보건소) 치매안심센터",28125,36.71040635,127.4304713,043-201-4361,043-201-4379,https://cheongwon.nid.or.kr,2018-08-20,,,,,,,,,,,,,,,,,,
C0153,충청북도청주시흥덕구치매안심센터,치매안심센터,충청북도,청주시 흥덕구,"충북 청주시 흥덕구 대농로 88 (복대동, 흥덕보건소 본관) 2층",28426,36.64147861,127.4315238,043-201-4320,,https://heungdeok.nid.or.kr,2018-08-20,,,,,,,,,,,,,,,,,,
C0154,충청북도충주시치매안심센터,치매안심센터,충청북도,충주시,"충북 충주시 사직산21길 34 (문화동, 충주시 건강복지타운) 2층 치매안심센터",27408,36.97086234,127.9280544,043-850-1781,043-850-3509,https://chungju.nid.or.kr,2019-07-02,0,10,2,3,2,,,,,,,,2,,,,,
C0155,충청남도계룡시치매안심센터,치매안심센터,충청남도,계룡시,"충남 계룡시 장안로 54 (금암동, 계룡시보건소) 치매안심센터 1층",32823,36.2730574,127.2500264,042-840-3681,,https://gyeryong.nid.or.kr,2018-11-12,0,3,0,1,3,,,,,,,,,,,,,
C0156,충청남도공주시치매안심센터,치매안심센터,충청남도,공주시,충남 공주시 옛군청뒷길 8 (교동) 치매안심센터,32542,36.45701715,127.1201721,041-840-3315,041-852-8159,https://gongju.nid.or.kr,2018-03-21,0,12,2,4,7,,,,,,,,,,,,,
C0157,충청남도금산군치매안심센터,치매안심센터,충청남도,금산군,"충남 금산군 금산읍 비범1길 5 (중도리, 치매안심센터)",32725,36.10952067,127.4934491,041-750-4460,041-751-4178,https://geumsan.nid.or.kr,2018-12-11,0,8,5,,,,,,,3,,,,,,,,
C0158,충청남도논산시치매안심센터,치매안심센터,충청남도,논산시,충남 논산시 논산대로 408 (관촉동) 논산시 치매안심센터,32993,36.19653553,127.1047397,041-746-6921,041-746-8129,https://nonsan.nid.or.kr,2018-11-26,0,11,3,,,,2,,,,,,,,,,,
C0159,충청남도당진시치매안심센터,치매안심센터,충청남도,당진시,"충남 당진시 서부로 56 (채운동, 당진시보건소) 치매안심센터 1층",31777,36.88735969,126.6304725,041-360-6269,041-360-6029,https://dangjin.nid.or.kr,2018-12-17,1,6,2,,,,,,,,,,,,,,,
C0160,충청남도보령시치매안심센터,치매안심센터,충청남도,보령시,충남 보령시 대천로 119 (죽정동),33439,36.35633335,126.6045349,041-930-6871,041-931-7292,https://brcn.nid.or.kr,2018-08-27,0,13,1,2,,,1,,,,,,,,,,,
C0161,충청남도부여군치매안심센터,치매안심센터,충청남도,부여군,"충남 부여군 부여읍 성왕로 205 (구아리, 부여군 보건소) 3층",33140,36.28293864,126.9094144,041-830-8740,041-830-8700,https://buyeo.nid.or.kr,2018-07-25,0,10,3,2,,,,,,,,,,,,,,
C0162,충청남도서산시치매안심센터,치매안심센터,충청남도,서산시,"충남 서산시 호수공원6로 6 (예천동, 서산시보건소) 서산시치매안심센터",31997,36.77457758,126.4445147,041-661-6598,041-661-8119,https://seosan.nid.or.kr,2018-08-24,0,6,4,3,,,,,,,,1,,,,,,
C0163,충청남도서천군치매안심센터,치매안심센터,충청남도,서천군,충남 서천군 서천읍 사곡길 20-2 (군사리) 서천군 치매안심센터,33638,36.0817289,126.6887353,041-950-6741,,https://seocheon.nid.or.kr,2018-11-01,0,12,1,,,,,,,,,,,,,,,
C0164,충청남도아산시치매안심센터,치매안심센터,충청남도,아산시,"충남 아산시 번영로216번길 18 (모종동, 아산시보건소) 별관 2, 3층",31521,36.78291637,127.0140532,041-537-3474,041-537-3349,https://asan.nid.or.kr,2018-11-30,0,13,1,1,,,,,,,,,,,,,,
C0165,충청남도예산군치매안심센터,치매안심센터,충청남도,예산군,"충남 예산군 예산읍 군청로 22 (예산리, 예산군청) 보건소 5층",32435,36.68088045,126.8448499,041-339-6122,041-339-6009,https://yesan.nid.or.kr,2018-11-08,1,11,1,,,,,,,,,,,,,,,
C0166,충청남도천안시동남구치매안심센터,치매안심센터,충청남도,천안시 동남구,"충남 천안시 동남구 버들로 40 (문화동, 동남구보건소,교통정보센터) 7층 치매안심센터",31131,36.80717777,127.1514571,041-521-3343,041-521-5006,https://dongnam.nid.or.kr,2018-11-02,,,,,,,,,,,,,,,,,,
C0167,충청남도천안시서북구치매안심센터,치매안심센터,충청남도,천안시 서북구,"충남 천안시 서북구 서부8길 29 (성정동, 성정2동 행정복지센터) 1층",31137,36.8197755,127.1398835,041-521-5740,041-573-0994,https://seobuk.nid.or.kr,2018-04-01,,,,,,,,,,,,,,,,,,
C0168,충청남도청양군치매안심센터,치매안심센터,충청남도,청양군,"충남 청양군 청양읍 칠갑산로7길 54 (읍내리, 청양군보건의료원) 청양군보건의료원 치매안심센터 2층",33324,36.45502041,126.8049398,041-940-4536,041-940-4508,https://cheongyang.nid.or.kr,2018-10-19,1,5,3,2,1,,,,,,,,,,,,,
C0169,충청남도태안군치매안심센터,치매안심센터,충청남도,태안군,"충남 태안군 태안읍 서해로 1952-16 (평천리, 태안군보건의료원) 어르신센터 1층",32148,36.75181076,126.3232321,041-671-1632,041-671-5336,https://taean.nid.or.kr,2018-06-26,1,10,2,2,1,,,,1,,,,,,,,,
C0170,충청남도홍성군치매안심센터,치매안심센터,충청남도,홍성군,"충남 홍성군 홍성읍 문화로 106 (오관리, 홍성군보건소) 홍성군보건소 별관 치매안심센터 2층",32236,36.59664119,126.6630605,041-630-9076,041-630-9860,https://hongseong.nid.or.kr,2018-11-21,0,16,3,,,,,,,,,,,,,,,
C0171,전북특별자치도고창군치매안심센터,치매안심센터,전북특별자치도,고창군,"전북특별자치도 고창군 고창읍 전봉준로 90 (율계리, 고창군보건소) 고창군치매안심센터",56442,35.44376255,126.6832504,063-560-8725,063-560-8779,https://gochang.nid.or.kr,2018-10-02,1,8,2,2,,,,,,,,,,,,,,
C0172,전북특별자치도군산시치매안심센터,치매안심센터,전북특별자치도,군산시,"전북특별자치도 군산시 공단대로 482 (나운동, 군산시치매안심센터) 군산시치매안심센터",54129,35.96456011,126.6898084,063-454-5870,063-471-1315,https://gunsan.nid.or.kr,2018-07-01,1,10,5,4,,,1,,,,,,,,,,,
C0173,전북특별자치도김제시치매안심센터,치매안심센터,전북특별자치도,김제시,전북특별자치도 김제시 동서8길 52 (요촌동) 김제시치매안심센터,54408,35.79740416,126.8887514,063-540-1327,,https://gimje.nid.or.kr,2017-12-20,0,10,3,5,,,2,,,6,,,2,,,,,
C0174,전북특별자치도남원시치매안심센터,치매안심센터,전북특별자치도,남원시,"전북특별자치도 남원시 요천로 1285 (조산동, 남원시보건소) 치매안심센터",55766,35.39783988,127.3639897,063-620-7725,063-620-7928,https://namwon.nid.or.kr,2018-11-09,0,9,5,2,,,2,,,7,,,,,,,,
C0175,전북특별자치도무주군치매안심센터,치매안심센터,전북특별자치도,무주군,"전북특별자치도 무주군 무주읍 한풍루로 413 (당산리, 무주군보건의료원) 4층",55515,36.00590333,127.6716763,063-320-8601,063-320-8615,https://muju.nid.or.kr,2018-07-24,1,6,1,,3,,,,,,,,,,,,,
C0176,전북특별자치도부안군치매안심센터,치매안심센터,전북특별자치도,부안군,"전북특별자치도 부안군 부안읍 오리정로 124 (봉덕리, 보건소) 치매안심센터",56314,35.72286232,126.7356007,063-580-3066,063-584-1264,https://buan.nid.or.kr,2018-06-18,1,9,4,1,3,,,,,,,2,,,,,,
C0177,전북특별자치도순창군치매안심센터,치매안심센터,전북특별자치도,순창군,"전북특별자치도 순창군 순창읍 교성로 135 (교성리, 순창군보건의료원) 치매안심센터 2층",56049,35.3670048,127.1440817,063-650-5271,063-652-5248,https://sunchang.nid.or.kr,2019-07-16,1,2,0,,,,,,,,,,,,,,,
C0178,전북특별자치도완주군치매안심센터,치매안심센터,전북특별자치도,완주군,전북특별자치도 완주군 삼례읍 삼봉8로 10-12 (수계리) 완주군 치매안심센터,55334,35.92146408,127.1219187,063-290-4373,063-290-3030,https://wanju.nid.or.kr,2018-07-23,0,13,0,,,,,,,,,,,,,,,
C0179,전북특별자치도익산시치매안심센터,치매안심센터,전북특별자치도,익산시,전북특별자치도 익산시 동서로 91 (모현동2가) 서부권다목적체육관 3층 치매안심센터,54652,35.95641377,126.9450599,063-859-7550,063-859-4090,https://iksan.nid.or.kr,2018-04-09,0,12,2,4,4,,2,,,,,,,,,,,
C0180,전북특별자치도임실군치매안심센터,치매안심센터,전북특별자치도,임실군,"전북특별자치도 임실군 임실읍 호국로 1680 (이도리, 임실군 보건의료원) 치매안심센터",55927,35.61261112,127.2870767,063-640-3373,,https://imsil.nid.or.kr,2019-06-21,1,4,3,1,3,,,,,,,,,,,,,
C0181,전북특별자치도장수군치매안심센터,치매안심센터,전북특별자치도,장수군,전북특별자치도 장수군 장수읍 장천로 255-10 치매안심센터,55631,35.65508764,127.519166,063-350-2670,063-350-5722,https://jangsu.nid.or.kr,2018-12-24,1,6,1,2,1,,,,,,,,,,,,,
